Project,SHA Detected,Module Path,Fully-Qualified Test Name (packageName.ClassName.methodName),Category,Status,PR Link,Merged Commit Sha,# of Commits,Issue ID,Notes,JUnit Version
https://github.com/pholser/junit-quickcheck,9361b6dae25b193782604d071754eb7fc566390a,core,com.pholser.junit.quickcheck.ComponentizedGeneratorsIsolateConfigurationFromComponentsTest.boxOfFoo,NIO,Accepted,https://github.com/pholser/junit-quickcheck/pull/361,73439e95e5efd69a428cdcbe8dca089b3c54dc1c,1,,,
https://github.com/pholser/junit-quickcheck,9361b6dae25b193782604d071754eb7fc566390a,core,com.pholser.junit.quickcheck.EnumPropertyParameterTypesTest.usesRegularTrialCount,NIO,Accepted,https://github.com/pholser/junit-quickcheck/pull/361,73439e95e5efd69a428cdcbe8dca089b3c54dc1c,1,,,
https://github.com/pholser/junit-quickcheck,9361b6dae25b193782604d071754eb7fc566390a,core,com.pholser.junit.quickcheck.EnumPropertyParameterTypesTest.whenConstrained,NIO,Accepted,https://github.com/pholser/junit-quickcheck/pull/361,73439e95e5efd69a428cdcbe8dca089b3c54dc1c,1,,,
https://github.com/pholser/junit-quickcheck,9361b6dae25b193782604d071754eb7fc566390a,core,com.pholser.junit.quickcheck.ExhaustingAGivenSetButIncludingAnotherTest.ctorOnly,NIO,Accepted,https://github.com/pholser/junit-quickcheck/pull/357,bd500ce03f40fc1a306b7300b9cab3fc5f0c0485,1,,,
https://github.com/pholser/junit-quickcheck,9361b6dae25b193782604d071754eb7fc566390a,core,com.pholser.junit.quickcheck.ExhaustingAGivenSetButIncludingAnotherTest.enums,NIO,Accepted,https://github.com/pholser/junit-quickcheck/pull/357,bd500ce03f40fc1a306b7300b9cab3fc5f0c0485,1,,,
https://github.com/pholser/junit-quickcheck,9361b6dae25b193782604d071754eb7fc566390a,core,com.pholser.junit.quickcheck.ExhaustingAGivenSetButIncludingAnotherTest.explicitConversion,NIO,Accepted,https://github.com/pholser/junit-quickcheck/pull/357,bd500ce03f40fc1a306b7300b9cab3fc5f0c0485,1,,,
https://github.com/pholser/junit-quickcheck,9361b6dae25b193782604d071754eb7fc566390a,core,com.pholser.junit.quickcheck.ExhaustingAGivenSetButIncludingAnotherTest.favorValueOf,NIO,Accepted,https://github.com/pholser/junit-quickcheck/pull/361,73439e95e5efd69a428cdcbe8dca089b3c54dc1c,1,,,
https://github.com/pholser/junit-quickcheck,9361b6dae25b193782604d071754eb7fc566390a,core,com.pholser.junit.quickcheck.ExhaustingAGivenSetButIncludingAnotherTest.manyParameters,ID  and  NIO,Accepted,https://github.com/pholser/junit-quickcheck/pull/357,bd500ce03f40fc1a306b7300b9cab3fc5f0c0485,1,,,
https://github.com/pholser/junit-quickcheck,9361b6dae25b193782604d071754eb7fc566390a,core,com.pholser.junit.quickcheck.ExhaustingAGivenSetButIncludingAnotherTest.manyParametersWithBooleanAndEnum,ID  and  NIO,Accepted,https://github.com/pholser/junit-quickcheck/pull/357,bd500ce03f40fc1a306b7300b9cab3fc5f0c0485,1,,,
https://github.com/pholser/junit-quickcheck,9361b6dae25b193782604d071754eb7fc566390a,core,com.pholser.junit.quickcheck.ExhaustingAGivenSetButIncludingAnotherTest.primitiveBooleans,NIO,Accepted,https://github.com/pholser/junit-quickcheck/pull/357,bd500ce03f40fc1a306b7300b9cab3fc5f0c0485,1,,,
